BIRD.ID,Bird.age,Age.next.season,Pre.Rain,Post.Rain,RTL.12,Ad.Grp.size,D4.Mass,Sex,Predation,Birth.Clutch,Group,Season,Surv.next.ssn,fledged,D12.Mass
UUIAS,10,267,32.25,371.5,1.027584588,6,NA,M,NA,UB008,UB,2010-11,0,NA,32.308
UUNIC,12,185,43.5,84,0.93791792,7,NA,M,NA,IN012,IN,2010-11,1,NA,32.12
INU,13,234,273.5,152.5,1.085061686,8,NA,F,NA,WE010,WE,2010-11,0,NA,29.866
UCSCL,12,204,146.5,37,1.18951205,7,NA,M,NA,JA012,JA,2010-11,1,NA,37.31
UUNBI,10,204,146.5,37,1.496708631,4,NA,M,NA,EL015,EL,2010-11,1,NA,34.818
UUNBN,10,203,122,33.5,0.89654206,6,NA,M,NA,PU014,PU,2010-11,1,NA,33.508
UUNON,12,341,11,0,1.019094874,5,NA,M,NA,BO018,BO,2011-12,1,NA,36.03
UUNUC,12,270,14,145,1.090882322,6,NA,M,NA,EL016,EL,2011-12,1,NA,31.89
UUNOL,11,331,11,10,1.094917169,8,NA,F,NA,VA011,VA,2011-12,1,NA,31.974
UUNUB,11,283,14,87.5,1.209343906,5,NA,M,NA,KU007,KU,2011-12,1,NA,23.594
UUNUI,11,283,14,87.5,1.084340754,5,NA,M,NA,KU007,KU,2011-12,1,NA,26.114
UUIIR,12,341,11,0,1.070730304,5,NA,F,NA,BO018,BO,2011-12,1,NA,24.55
UUIBN,12,277,42.5,73.5,0.966795234,3,NA,F,NA,XM011,XM,2012-13,1,NA,28.44
UUOSO,12,256,61,26,1.134371146,4,NA,M,NA,JE004,JE,2012-13,1,NA,33.12
UUORR,12,268,86,26,1.192317795,3,NA,M,NA,TI005,TI,2012-13,0,NA,29.94
NOR,12,266,86,26,1.051879662,5,NA,F,NA,KU008,KU,2012-13,0,NA,29.93
UUOSB,13,276,38.5,73.5,1.008230721,5,NA,M,NA,IN017,IN,2012-13,0,NA,21.086
NOB,10,264,86,26,1.209728601,3,NA,M,NA,DA005,DA,2012-13,0,NA,25.568
UUIBL,11,276,38.5,73.5,1.167622704,3,NA,M,NA,OK011,OK,2012-13,0,NA,33.064
NOU,12,276,38.5,73.5,1.403184534,2,NA,M,NA,WE015,WE,2012-13,0,NA,25.22
UUNRR,10,266,86,26,1.16414871,3,NA,F,NA,TI005,TI,2012-13,1,NA,34.628
UUOSI,13,276,38.5,73.5,0.980110991,5,NA,M,NA,IN017,IN,2012-13,1,NA,20.456
UUORA,12,271,80,32,1.030045925,3,NA,M,NA,BO020,BO,2012-13,0,NA,28.56
UUORL,13,271,80,32,1.064717775,3,NA,M,NA,BO020,BO,2012-13,0,NA,31.476
UUBNA,10,273,80,32,1.033280922,3,NA,M,NA,MO012,MO,2012-13,0,NA,40.088
NOL,12,268,86,26,1.294656988,6,NA,F,NA,FO022,FO,2012-13,0,NA,31.65
NCI,12,271,80,32,1.078971656,4,NA,F,NA,ST009,ST,2012-13,0,NA,26.57
UUIBI,13,278,42.5,73.5,1.032027923,4,NA,F,NA,QU013,QU,2012-13,1,NA,33.286
UUBIR,10,273,80,32,1.212979593,2,NA,M,NA,AY019,AY,2012-13,0,NA,33.848
NOA,13,267,86,26,1.415976902,5,NA,F,NA,KU008,KU,2012-13,0,NA,31.586
UUIBO,11,276,42.5,73.5,1.03941577,3,NA,F,NA,XM011,XM,2012-13,0,NA,27.034
UUBNN,12,275,61.5,50.5,0.790912574,3,NA,M,NA,ZE010,ZE,2012-13,0,NA,26.53
NIS,11,274,61.5,50.5,1.008197476,3,NA,M,NA,ZE010,ZE,2012-13,0,NA,18.144
UUNRS,12,334,0,0,1.697294316,3,NA,F,NA,JE005,JE,2013-14,0,NA,21.78
UUOCI,11,260,72.5,120,1.02427931,4,NA,M,NA,AY021,AY,2013-14,1,NA,30.484
UUIBB,12,262,68,124.5,0.692774627,2,NA,F,NA,SU014,SU,2013-14,1,NA,27.58
CBB,12,201,163,162,0.902554812,2,NA,M,NA,SU015,SU,2013-14,0,NA,30.1
NAI,12,267,57.5,117.5,1.269563611,2,NA,F,NA,RO005,RO,2013-14,0,NA,28.38
UUOBI,12,176,203,13,1.163422498,2,NA,M,NA,CH018,CH,2013-14,1,NA,33.9
UUBRB,12,214,114.5,211,0.954225169,4,NA,M,NA,TO019,TO,2013-14,1,NA,36.56
UUOAR,12,333,0,0,1.197181056,2,NA,F,NA,XB003,XB,2013-14,0,NA,19.48
