BIRD.ID,Bird.age,Age.next.season,Pre.Rain,Post.Rain,RTL,Ad.Grp.size,D4.Mass,Sex,Predation,Birth.Clutch,Group,Season,Surv.next.ssn,fledged
UUIAL,6,266,32.25,371.5,0.858690705,5,12.94,M,lived,PU013,PU,2010-11,1,1
BSR,6,266,32.25,371.5,0.980852499,8,10.41,F,unknown,IN010,IN,2010-11,0,0
UUIAC,6,284,6.25,256,1.000239099,4,10.74,M,lived,OK008,OK,2010-11,1,1
CRRSS,5,213,219,66,1.043466388,5,13.2,M,unknown,ST004,ST,2010-11,0,0
CRRSA,6,216,250,66,1.348449311,5,11.74,M,lived,RA013,RA,2010-11,1,1
INC,5,234,273.5,152.5,1.426999831,8,13.85,M,predated,WE010,WE,2010-11,0,0
CRRSI,6,232,301.5,124.5,0.558492086,3,12.83,M,lived,XM009,XM,2010-11,1,1
CRRRS,6,234,273.5,152.5,1.165472328,2,9.38,M,lived,VU002,VU,2010-11,1,1
UUIAA,5,265,32.25,371.5,0.815711827,5,11.56,F,unknown,PU013,PU,2010-11,0,0
UUIAO,6,284,6.25,256,1.372982408,8,12.91,M,likely predated,EL013,EL,2010-11,0,0
UUISO,6,247,152.5,291,1.281913822,3,15.19,M,lived,RO002,RO,2010-11,0,1
UUISN,6,246,152.5,291,0.784942483,4,18.03,M,lived,PO003,PO,2010-11,1,1
CRSBB,6,214,219,66,0.848410477,5,13.04,F,lived,ST004,ST,2010-11,1,1
UUISC,6,244,183.5,262.5,0.996760621,3,15.73,M,unknown,DA001,DA,2010-11,0,0
UUIAN,6,284,6.25,256,1.103954177,8,7.05,M,likely predated,EL013,EL,2010-11,0,0
UCSCC,6,205,146.5,37,1.36855049,5,14.6,M,lived,HY016,HY,2010-11,1,1
UUIRC,6,263,32.25,382.5,0.894842563,3,14.09,M,lived,YE002,YE,2010-11,1,1
UCSCN,6,207,191.5,37,0.960804925,5,15.07,F,lived,BO017,BO,2010-11,1,1
INR,5,232,301.5,124.5,1.422645707,5,12.74,F,likely predated,KU005,KU,2010-11,0,0
BSS,6,249,160,291,1.140446955,6,15.68,F,predated,HY015,HY,2010-11,0,0
UUIRO,5,262,32.25,382.5,0.828711852,3,11.59,M,lived,YE002,YE,2010-11,1,1
IBB,5,248,160,291,1.064940109,6,15.13,M,predated,HY015,HY,2010-11,0,0
INL,6,233,301.5,124.5,1.1407847,5,10.59,F,likely predated,KU005,KU,2010-11,0,0
INN,6,235,273.5,152.5,1.142173907,8,15.57,F,predated,WE010,WE,2010-11,0,0
UUIAU,5,283,6.25,256,0.904195172,4,6.3,M,lived,OK008,OK,2010-11,1,1
CRRSB,4,231,301.5,124.5,0.933350634,8,13.58,M,lived,IN011,IN,2010-11,1,1
IIO,6,247,152.5,291,1.246446909,4,11.74,F,unknown,VA008,VA,2010-11,0,0
INA,5,233,273.5,152.5,1.195388784,2,11.96,M,died,VU002,VU,2010-11,0,0
UUOBL,4,173,158.5,25.5,1.065924117,2,11.23,F,lived,VA017,VA,2013-14,1,1
UUOBN,3,175,203,13,0.787560147,2,12.36,F,lived,CH018,CH,2013-14,1,1
UUBLR,4,176,203,13,0.866779634,3,11.08,M,lived,CA004,CA,2013-14,1,1
OLU,4,184,132.5,90.5,1.017421095,2,12.34,M,unknown,DA009,DA,2013-14,0,0
UUOOS,3,172,158.5,25.5,1.224841919,2,10.29,M,lived,VA017,VA,2013-14,1,1
OBS,4,183,132.5,90.5,1.143061022,2,12.36,F,died,OK015,OK,2013-14,0,0
UUOOU,4,331,4,45.5,0.888817802,5,10.75,F,lived,YE023,YE,2014-15,1,1
LRLCN,4,262,74,29.5,0.939139144,6,12.64,M,lived,AY026,AY,2014-15,1,1
OUS,4,264,74,29.5,1.337273697,4,3.12,F,predated,XM018,XM,2014-15,0,0
OCL,4,299,45.5,74,1.209896083,6,11.65,F,predated,AY025,AY,2014-15,0,0
LRLBU,3,304,45.5,74,0.825706996,5,11.77,F,lived,NY017,NY,2014-15,1,1
OOI,4,361,0,9,0.875078731,6,6.23,F,died,IN021,IN,2014-15,0,0
LRLBA,4,303,45.5,74,1.145322522,3,13.66,F,lived,OK017,OK,2014-15,1,1
LRLIB,4,302,45.5,74,1.030802356,3,10.3,F,lived,WE024,WE,2014-15,1,1
LRLBO,4,306,45.5,74,0.636514571,4,12.69,M,lived,PO015,PO,2014-15,1,1
LRLBN,3,305,45.5,74,0.702751876,4,12.82,M,lived,PO015,PO,2014-15,0,1
LRLOL,4,304,45.5,74,0.959614145,5,10.58,F,lived,DI020,DI,2014-15,1,1
LRLUN,4,257,74,29.5,1.269948355,4,11.64,M,lived,BO027,BO,2014-15,1,1
LRLNC,4,299,45.5,74,0.878347101,3,14.35,F,lived,RO010,RO,2014-15,1,1
UUBOB,3,359,0,20,1.244920551,5,13.5,M,lived,XM016,XM,2014-15,0,1
LRLII,4,302,45.5,74,1.005247743,5,15.11,M,unknown,EL023,EL,2014-15,0,0
LRLOU,3,289,45.5,76,0.919257739,3,10.86,M,lived,UB022,UB,2014-15,1,1
LRLBC,4,305,45.5,74,0.753769769,5,11.03,F,lived,NY017,NY,2014-15,1,1
OUU,4,255,74,29.5,0.866168336,5,10.25,M,likely predated,DI021,DI,2014-15,0,0
LRLNB,4,300,45.5,74,0.867970393,6,13.6,F,lived,SU017,SU,2014-15,1,1
LRLIC,5,302,45.5,74,1.096993811,7,12.55,M,lived,HY022,HY,2014-15,1,1
OUC,3,301,45.5,74,1.021274807,3,5.88,F,died,WE024,WE,2014-15,0,0
OCS,4,299,45.5,74,1.029038074,6,13.45,F,unknown,QU020,QU,2014-15,0,0
ONO,4,365,3,4,0.862141293,6,5.3,F,died,KU014,KU,2014-15,0,0
LRLON,4,293,45.5,74,0.871532105,6,12.78,F,lived,FO027,FO,2014-15,0,1
LRLOI,4,294,45.5,74,1.091982725,4,9.65,F,lived,JA021,JA,2014-15,1,1
OCA,4,299,45.5,74,0.931363956,6,7.5,F,predated,AY025,AY,2014-15,0,0
UUOOA,4,332,4,45.5,0.930045318,6,12.71,M,lived,JE010,JE,2014-15,0,1
LRLOC,4,290,45.5,76,0.776665229,3,12.09,M,lived,UB022,UB,2014-15,1,1
LRLIA,4,301,45.5,74,0.87660662,6,18.74,M,unknown,CH019,CH,2014-15,0,0
LRLIO,5,302,45.5,74,1.007482007,5,10.99,F,unknown,GE031,GE,2014-15,0,0
ONL,4,363,0,4,0.92253804,2,7.78,M,unknown,RO009,RO,2014-15,0,0
LRLIU,4,301,45.5,74,1.000482334,7,13.47,F,lived,HY022,HY,2014-15,1,1
ONU,3,363,0,4,1.183226369,3,7.92,M,died,OK016,OK,2014-15,0,0
LRLIL,4,301,45.5,74,0.640716271,6,14.48,F,lived,CH019,CH,2014-15,1,1
LRLNA,3,300,45.5,74,0.967115656,6,13.16,F,lived,CH019,CH,2014-15,1,1
OUO,4,299,45.5,74,0.864083242,6,9.25,F,died,RA021,RA,2014-15,0,0
UUOCB,4,361,0,9,0.863279634,6,10.25,M,lived,IN021,IN,2014-15,1,1
LRLCO,4,261,74,29.5,1.05304987,4,12.9,M,lived,QU021,QU,2014-15,0,1
LRLNO,4,299,45.5,74,0.869214885,6,12.14,F,lived,RA021,RA,2014-15,1,1
LRLCC,4,260,74,29.5,0.894799002,6,12.81,F,lived,JE011,JE,2014-15,1,1
LRLOO,4,293,45.5,74,1.17800379,6,12.46,F,lived,MO017,MO,2014-15,0,1
LRLCU,3,259,74,29.5,1.303078132,6,10.6,F,unknown,JE011,JE,2014-15,0,0
OLB,3,263,74,29.5,1.706710839,4,11.37,F,predated,XM018,XM,2014-15,0,0
OUL,3,254,74,29.5,1.521720855,5,10.34,M,likely predated,DI021,DI,2014-15,0,0
