BIRD.ID,D12.Mass,Age.next.season,RTL.4,dtel.days,Pre.Rain,Group,Birth.Clutch,Chick.Fate,Surv.next.ssn
UUBLR,35.56,176,0.866779634,0.010783029,203,CA,CA004,F,1
UUOOS,35.754,172,1.224841919,-0.018591872,158.5,VA,VA017,F,1
OLU,39.78,184,1.017421095,-0.011269691,132.5,DA,DA009,NF,0
UUOBL,33.84,173,1.065924117,0.005526722,158.5,VA,VA017,F,1
OBS,30.04,183,1.143061022,-0.025995832,132.5,OK,OK015,D,0
UUOBN,28.354,175,0.787560147,0.020258234,203,CH,CH018,F,1
LRLNC,34.89,299,0.878347101,0.005063287,45.5,RO,RO010,F,1
LRLOO,23.07,293,1.17800379,-0.022099617,45.5,MO,MO017,F,0
LRLOA,35.32,268,1.167203738,-0.012811109,74,IN,IN022,F,1
UUOOU,32.89,331,0.888817802,-0.003832513,4,YE,YE023,F,1
LRLBO,32.61,306,0.636514571,0.016267724,45.5,PO,PO015,F,1
LRLIL,34.1,301,0.640716271,0.031871986,45.5,CH,CH019,F,1
LRLBC,33.2,305,0.753769769,0.025637643,45.5,NY,NY017,F,1
LRLON,31.19,293,0.871532105,0.036328347,45.5,FO,FO027,F,0
LRLIB,35.36,302,1.030802356,0.014059232,45.5,WE,WE024,F,1
UUOOA,34.46,332,0.930045318,-0.020766353,4,JE,JE010,F,0
LRLIO,35.84,302,1.007482007,0.011687102,45.5,GE,GE031,D,0
ONO,24.77,365,0.862141293,0.017564386,3,KU,KU014,D,0
LRLCL,22.73,262,0.984332309,0.050452558,74,CA,CA006,NF,0
LRLIC,35,302,1.096993811,-0.009036223,45.5,HY,HY022,F,1
LRLII,36.88,302,1.005247743,-0.030405169,45.5,EL,EL023,NF,0
LRLOC,32.09,290,0.776665229,0.011034534,45.5,UB,UB022,F,1
LRLCO,33.1,261,1.05304987,-0.004702758,74,QU,QU021,F,0
LRLBN,34.524,305,0.702751876,0.014037664,45.5,PO,PO015,F,0
LRLOU,37.934,289,0.919257739,0.00501324,45.5,UB,UB022,F,1
LRLOL,25.79,304,0.959614145,0.002249135,45.5,DI,DI020,F,1
LRLIA,33.39,301,0.87660662,0.011425977,45.5,CH,CH019,NF,0
ONU,16.584,363,1.183226369,-0.03154162,0,OK,OK016,E,0
LRLCC,32.76,260,0.894799002,0.02327802,74,JE,JE011,F,1
LRLUI,37.08,256,0.910085665,-0.00691389,74,GE,GE032,F,1
LRLBA,35.96,303,1.145322522,0.009651219,45.5,OK,OK017,F,1
LRLNB,37.32,300,0.867970393,-0.00407153,45.5,SU,SU017,F,1
LRLIU,32.574,301,1.000482334,0.029390145,45.5,HY,HY022,F,1
UUBOB,36.254,359,1.244920551,-0.059425592,0,XM,XM016,F,0
LRLOI,32.77,294,1.091982725,-0.001532173,45.5,JA,JA021,F,1
LRLCU,30.974,259,1.303078132,-0.009946705,74,JE,JE011,NF,0
LRLNO,36.8,299,0.869214885,-0.001091991,45.5,RA,RA021,F,1
ONL,18.11,363,0.92253804,0.024467012,0,RO,RO009,D,0
LRLBU,36.914,304,0.825706996,-0.006037264,45.5,NY,NY017,F,1
